value1;value2;value3;
320;534;550;
321;622;1181;
322;316;5559;
323;410;279;
324;944;2637;
325;721;9811;
326;907;4622;
327;387;5162;
328;160;117;
329;147;4092;
330;711;7277;
331;235;2809;
332;417;6473;
333;270;9512;
334;941;8590;
335;958;2471;
336;521;2926;
337;901;5792;
338;973;6770;
339;289;3413;
340;265;8467;
341;945;408;
342;918;533;
343;868;6489;
344;746;7392;
345;265;5420;
346;957;4348;
347;272;2198;
348;609;2472;
349;455;5796;
350;926;6999;
351;393;232;
352;291;7608;
353;626;3313;
354;937;9057;
355;229;7702;
356;753;7863;
357;422;335;
358;214;5501;
359;51;4993;
360;93;5798;
361;773;931;
362;913;4024;
363;189;3825;
364;827;1999;
365;601;2989;
366;958;7307;
367;909;6060;
368;752;4216;
369;838;6612;
370;573;4696;
371;851;608;
372;806;1471;
373;124;4078;
374;87;5882;
375;52;182;
376;429;7884;
377;491;2167;
378;70;5591;
379;220;6159;
380;963;4996;
381;878;7654;
382;896;9935;
383;789;2952;
384;229;3409;
385;728;6893;
386;965;1835;
387;125;7511;
388;363;4269;
389;201;2920;
390;676;192;
391;948;6637;
392;647;1542;
393;304;5706;
394;905;476;
395;786;7779;
396;454;4056;
397;978;5285;
398;730;261;
399;269;351;
400;389;4889;
401;466;3568;
402;36;4815;
403;297;4766;
404;500;357;
405;606;6272;
406;402;1300;
407;781;569;
408;766;1591;
409;776;1906;
410;430;7771;
411;828;5474;
412;543;5154;
413;722;3596;
414;54;3651;
415;737;7093;
416;996;5121;
417;352;4673;
418;456;9462;
419;793;1881;
420;526;7709;
421;161;2587;
422;637;3449;
423;837;4671;
424;486;9300;
425;590;1569;
426;385;4696;
427;749;4127;
428;442;6276;
429;425;4688;
430;224;8108;
431;477;8015;
432;14;4176;
433;471;596;
434;627;4118;
435;67;8285;
436;900;9990;
437;966;5326;
438;217;5123;
439;830;2946;
440;596;9089;
441;103;2124;
442;653;871;
443;256;4943;
444;99;9715;
445;652;6694;
446;854;5444;
447;413;4416;
448;832;5928;
449;483;108;
450;114;9154;
451;665;5693;
452;658;8231;
453;776;1339;
454;193;1206;
455;253;6662;
456;411;5058;
457;70;9031;
458;96;365;
459;291;9236;
460;807;9570;
461;135;6048;
462;922;4543;
463;621;7245;
464;373;7245;
465;447;2415;
466;912;9518;
467;641;6014;
468;476;6034;
469;740;3367;
470;298;982;
471;399;6640;
472;535;3754;
473;784;5750;
474;716;3900;
475;792;9493;
476;937;9126;
477;669;1267;
478;993;3137;
479;561;1305;
480;553;2565;
481;375;687;
482;507;366;
483;893;2019;
484;367;7340;
485;741;4006;
486;128;4615;
487;238;5715;
488;836;413;
489;736;5293;
490;654;2362;
491;245;1523;
492;406;9923;
493;882;9795;
494;879;8975;
495;653;9481;
496;105;6370;
497;168;6081;
498;253;8423;
499;91;4497;
500;774;9497;
501;864;3916;
502;391;9934;
503;464;8484;
504;207;8737;
505;931;5871;
506;641;586;
507;373;3893;
508;208;4348;
509;331;2019;
510;576;3147;
511;461;8111;
512;96;1064;
513;814;8649;
514;11;891;
515;878;6762;
516;301;4412;
517;465;1372;
518;283;4046;
519;200;7574;
520;187;7784;
521;541;8946;
522;395;560;
523;963;2908;
524;93;6150;
525;412;121;
526;536;1867;
527;869;3202;
528;986;1117;
529;492;3452;
530;273;3872;
531;10;4709;
532;897;9482;
533;138;2412;
534;575;4442;
535;577;7197;
536;204;3222;
537;560;9609;
538;934;8561;
539;477;5950;
540;656;5541;
541;952;1256;
542;322;402;
543;921;9539;
544;211;579;
545;591;2492;
546;202;89;
547;130;4211;
548;501;5782;
549;282;8799;
550;128;3048;
551;521;9582;
552;255;289;
553;531;1127;
554;967;6287;
555;854;9294;
556;222;6684;
557;324;2179;
558;491;7348;
559;597;2536;
560;952;526;
561;458;5501;
562;636;4234;
563;476;5834;
564;669;6853;
565;83;1992;
566;58;8812;
567;98;3276;
568;439;7579;
569;240;3713;
570;202;400;
571;754;9809;
572;738;9776;
573;235;656;
574;911;5525;
575;69;1221;
576;540;7300;
577;881;3973;
578;865;455;
579;867;1614;
580;309;5691;
581;641;2109;
582;201;5128;
583;138;4204;
584;120;7832;
585;731;3804;
586;946;7942;
587;165;7498;
588;920;6453;
589;930;9377;
590;953;9562;
591;614;1117;
592;107;535;
593;306;2023;
594;398;9220;
595;219;7122;
596;170;7868;
597;985;7600;
598;712;9457;
599;764;609;
600;222;7789;
601;129;2970;
602;412;9223;
603;626;4622;
604;596;1550;
605;236;6668;
606;127;9285;
607;226;1924;
608;889;8347;
609;15;3335;
610;670;3622;
611;808;3850;
612;367;4491;
613;975;3446;
614;909;5884;
615;84;6976;
616;278;6926;
617;398;3696;
618;716;6582;
619;991;4848;
620;467;80;
621;966;1459;
622;635;5212;
623;894;6975;
624;515;5141;
625;812;3176;
626;143;1407;
627;54;4299;
628;608;6957;
629;934;2771;
630;226;7164;
631;150;8188;
632;611;6079;
633;989;4914;
634;934;7911;
635;983;612;
636;951;5967;
637;995;5995;
638;266;7954;
639;462;2897;
640;20;1977;
641;910;8128;
642;715;2805;
643;241;776;
644;346;4117;
645;819;8043;
646;436;4309;
647;829;2793;
648;737;3187;
649;539;3332;
650;854;8767;
651;238;1583;
652;399;2350;
653;976;7272;
654;320;7147;
655;855;3758;
656;201;379;
657;72;2897;
658;271;7723;
659;869;3381;
660;679;5832;
661;633;6386;
662;686;3771;
663;7;8140;
664;492;8927;
665;803;6409;
666;79;6528;
667;424;1332;
668;252;9186;
669;209;4574;
670;456;6875;
671;947;6363;
672;804;1534;
673;671;2016;
674;559;3333;
675;294;7239;
676;949;7178;
677;212;9196;
678;318;402;
679;711;280;
680;25;7575;
681;233;311;
682;183;1264;
683;209;4984;
684;356;3231;
685;553;7376;
686;639;1558;
687;744;8268;
688;947;3527;
689;70;4977;
690;959;9143;
691;944;9729;
692;968;9855;
693;314;1277;
694;742;719;
695;905;7377;
696;811;8702;
697;259;3841;
698;560;6066;
699;125;7902;
700;738;8968;
701;388;7588;
702;297;5761;
703;144;2227;
704;186;186;
705;906;5432;
706;994;1510;
707;823;8728;
708;290;8842;
709;476;1449;
710;987;4644;
711;97;716;
712;55;4233;
713;330;9370;
714;630;5722;
715;576;5354;
716;362;3810;
717;487;1341;
718;170;1503;
719;888;8086;
720;883;9850;
721;583;7353;
722;917;6708;
723;647;3679;
724;833;2607;
725;25;3747;
726;713;8503;
727;499;3805;
728;887;4315;
729;549;3272;
730;855;1340;
731;799;1329;
732;473;2352;
733;414;9454;
734;950;5971;
735;869;6505;
736;516;2108;
737;552;792;
738;612;6023;
739;212;1323;
740;121;6804;
741;306;8209;
742;411;3787;
743;579;9766;
744;361;3145;
745;645;5229;
746;517;604;
747;908;214;
748;554;9496;
749;540;6765;
750;976;4979;
751;674;4591;
752;456;3635;
753;922;9;
754;883;6690;
755;394;2367;
756;988;1387;
757;422;7653;
758;38;4340;
759;533;733;
760;704;1031;
761;729;9758;
762;902;207;
763;140;6686;
764;177;732;
765;757;1884;
766;950;338;
767;314;9852;
768;691;3636;
769;848;6736;
770;693;393;
771;789;5519;
772;512;7704;
773;375;1348;
774;462;5798;
775;725;9046;
776;145;4393;
777;371;3775;
778;531;4983;
779;107;4812;
780;226;4128;
781;822;1104;
782;234;1221;
783;611;517;
784;786;5811;
785;662;8384;
786;144;4784;
787;522;5296;
788;96;9009;
789;529;6563;
790;991;8853;
791;639;4916;
792;463;1186;
793;879;9332;
794;283;42;
795;317;900;
796;786;297;
797;323;285;
798;176;6734;
799;335;8765;
800;608;5332;
801;505;8815;
802;710;1739;
803;99;5301;
804;24;808;
805;433;9700;
806;493;3830;
807;743;6971;
808;870;2503;
809;914;385;
810;489;2299;
811;471;8139;
812;740;8651;
813;575;5223;
814;246;4243;
815;140;5737;
816;521;5050;
817;269;5807;
818;260;3103;
819;901;2578;
820;989;8418;
821;298;5196;
822;819;4619;
823;570;9136;
824;42;2171;
825;751;7434;
826;40;8782;
827;131;2404;
828;108;4346;
829;87;8242;
830;142;6198;
831;653;7692;
832;473;8602;
833;749;9205;
834;573;4111;
835;436;6492;
836;618;3410;
837;497;4127;
838;415;8394;
839;410;7686;
840;647;9011;
841;483;6451;
842;893;5975;
843;302;1620;
844;799;8809;
845;542;6098;
846;653;6365;
847;821;3002;
848;13;5319;
849;294;486;
850;471;8894;
851;453;5975;
852;35;9021;
853;658;8816;
854;579;2918;
855;172;3826;
856;674;7091;
857;810;8128;
858;684;1467;
859;493;750;
860;207;5549;
861;817;1147;
862;431;5499;
863;906;6648;
864;144;8646;
865;659;8276;
866;668;1778;
867;706;4949;
868;180;3638;
869;536;5141;
870;859;1395;
871;556;9959;
872;254;399;
873;935;3300;
874;816;3116;
875;386;2359;
876;474;7529;
877;867;4081;
878;216;7237;
879;71;9193;
880;702;6107;
881;121;6244;
882;777;655;
883;289;3421;
884;234;419;
885;840;5553;
886;101;6806;
887;687;2425;
888;936;5514;
889;887;6117;
890;887;8512;
891;298;7138;
892;940;3730;
893;185;5207;
894;515;8029;
895;384;562;
896;204;3849;
897;444;6122;
898;386;4391;
899;372;4848;
900;376;3222;
901;717;4263;
902;731;2833;
903;767;2525;
904;339;7880;
905;645;8661;
906;227;7482;
907;834;9187;
908;255;3500;
909;535;2835;
910;493;5529;
911;121;8294;
912;765;4501;
913;399;4858;
914;282;5023;
915;289;2836;
916;650;9619;
917;899;3149;
918;946;9690;
919;601;5766;
920;891;9599;
921;805;4265;
922;25;3134;
923;84;2206;
924;105;906;
925;959;2903;
926;370;1835;
927;958;8713;
928;829;3251;
929;846;9607;
930;167;2092;
931;546;3292;
932;997;1984;
933;271;5349;
934;134;2067;
935;858;5753;
936;316;9057;
937;533;7814;
938;508;7712;
939;382;5849;
940;710;3490;
941;312;4777;
942;214;9785;
943;578;1760;
944;616;886;
945;606;9559;
946;747;9185;
947;477;9421;
948;444;9295;
949;981;1220;
950;899;8338;
951;828;6425;
952;962;5731;
953;566;9198;
954;282;6036;
955;835;5685;
956;512;1701;
957;404;7467;
958;61;4102;
959;875;494;
960;803;468;
961;706;2077;
962;323;8849;
963;116;426;
964;579;3380;
965;976;5886;
966;268;3642;
967;581;4218;
968;994;8584;
969;703;7414;
970;205;6591;
971;766;1576;
972;245;1930;
973;143;9186;
974;370;1942;
975;916;616;
976;145;9198;
977;311;2844;
978;458;9715;
979;69;9400;
980;126;7764;
981;845;6184;
982;855;5168;
983;31;4113;
984;903;2469;
985;89;2402;
986;74;3715;
987;349;2357;
988;360;3859;
989;126;6514;
990;994;1949;
991;633;193;
992;334;6635;
993;81;1273;
994;846;9400;
995;602;4922;
996;338;1763;
997;79;4739;
998;310;7670;
999;632;6545;
